Sale_ID,Sale_Date,Customer_ID,Product_ID,Product_Category,Store_ID,Region,Quantity_Sold,Unit_Price,Payment_Method,Returned,Total_Sale_Amount
T00001,45394,C0080,P0004,Electronics,S001,West,9,384.37,Net Banking,No,3459.33
T00002,45640,C0002,P0015,Clothing,S009,North,1,138.73,Credit Card,No,138.73
T00003,45562,C0128,P0006,Electronics,S006,East,2,860.53,Credit Card,Yes,1721.06
T00004,45398,C0160,P0049,Grocery,S004,North,5,41.06,Credit Card,No,205.3
T00005,45363,C0084,P0030,Home,S009,West,4,522.61,Net Banking,No,2090.44
T00006,45480,C0152,P0038,Toys,S005,East,9,79.94,Cash,No,719.46
T00007,45312,C0140,P0002,Electronics,S005,West,7,176.26,UPI,No,1233.82
T00008,45394,C0178,P0015,Clothing,S005,North,6,138.73,UPI,No,832.38
T00009,45413,C0163,P0011,Clothing,S001,East,7,63.26,Net Banking,No,442.82
T00010,45506,C0124,P0008,Electronics,S001,North,1,241.29,UPI,Yes,241.29
T00011,45622,C0033,P0026,Home,S008,West,1,335.62,Credit Card,No,335.62
T00012,45379,C0161,P0045,Grocery,S008,West,8,12.15,Cash,No,97.2
T00013,45391,C0189,P0044,Grocery,S006,North,2,23.05,UPI,No,46.1
T00014,45651,C0179,P0005,Electronics,S004,East,9,923.29,Cash,No,8309.61
T00015,45443,C0171,P0006,Electronics,S002,North,7,860.53,Credit Card,No,6023.71
T00016,45422,C0101,P0026,Home,S002,West,6,335.62,UPI,Yes,2013.72
T00017,45441,C0012,P0004,Electronics,S009,North,1,384.37,Net Banking,No,384.37
T00018,45600,C0067,P0019,Clothing,S005,West,1,166.65,Cash,No,166.65
T00019,45549,C0065,P0020,Clothing,S004,North,2,26.14,Credit Card,No,52.28
T00020,45635,C0161,P0033,Toys,S010,East,6,71.3,Cash,No,427.8
T00021,45585,C0168,P0020,Clothing,S001,East,6,26.14,UPI,No,156.84
T00022,45483,C0074,P0049,Grocery,S007,North,2,41.06,UPI,No,82.12
T00023,45568,C0043,P0012,Clothing,S003,North,1,113.44,Net Banking,Yes,113.44
T00024,45452,C0044,P0047,Grocery,S006,East,5,13.25,Credit Card,No,66.25
T00025,45605,C0029,P0001,Electronics,S005,West,5,821.4,Credit Card,No,4107.0
T00026,45313,C0141,P0026,Home,S005,East,2,335.62,Net Banking,No,671.24
T00027,45544,C0012,P0014,Clothing,S005,West,6,59.8,Net Banking,No,358.8
T00028,45527,C0095,P0038,Toys,S001,North,9,79.94,Credit Card,No,719.46
T00029,45636,C0046,P0037,Toys,S001,North,2,102.09,Cash,No,204.18
T00030,45340,C0130,P0011,Clothing,S003,West,2,63.26,Cash,No,126.52
T00031,45350,C0035,P0036,Toys,S010,North,3,72.96,Net Banking,No,218.88
T00032,45461,C0081,P0013,Clothing,S004,West,7,29.64,Cash,No,207.48
T00033,45479,C0090,P0043,Grocery,S005,South,6,19.85,Credit Card,No,119.1
T00034,45562,C0008,P0003,Electronics,S002,East,8,438.78,UPI,No,3510.24
T00035,45481,C0093,P0033,Toys,S008,South,8,71.3,UPI,No,570.4
T00036,45466,C0154,P0006,Electronics,S002,West,6,860.53,Cash,No,5163.18
T00037,45342,C0090,P0050,Grocery,S009,East,3,26.97,Net Banking,No,80.91
T00038,45655,C0162,P0010,Electronics,S002,West,3,181.29,Net Banking,No,543.87
T00039,45346,C0115,P0005,Electronics,S009,East,1,923.29,Net Banking,No,923.29
T00040,45535,C0105,P0023,Home,S007,East,7,338.18,Net Banking,No,2367.26
T00041,45611,C0135,P0010,Electronics,S008,East,5,181.29,Net Banking,No,906.45
T00042,45422,C0196,P0044,Grocery,S002,East,4,23.05,Cash,No,92.2
T00043,45598,C0058,P0002,Electronics,S007,West,4,176.26,UPI,Yes,705.04
T00044,45426,C0114,P0013,Clothing,S006,East,4,29.64,UPI,No,118.56
T00045,45312,C0075,P0040,Toys,S004,East,6,75.62,Cash,Yes,453.72
T00046,45620,C0157,P0002,Electronics,S007,South,8,176.26,Net Banking,No,1410.08
T00047,45458,C0120,P0020,Clothing,S004,North,8,26.14,Cash,No,209.12
T00048,45565,C0164,P0001,Electronics,S002,North,5,821.4,UPI,No,4107.0
T00049,45380,C0021,P0037,Toys,S010,South,6,102.09,Credit Card,No,612.54
T00050,45607,C0164,P0009,Electronics,S007,South,4,593.02,Cash,No,2372.08
T00051,45305,C0138,P0017,Clothing,S008,West,9,63.58,Net Banking,No,572.22
T00052,45533,C0101,P0009,Electronics,S002,West,8,593.02,UPI,No,4744.16
T00053,45556,C0152,P0011,Clothing,S005,West,1,63.26,UPI,No,63.26
T00054,45637,C0192,P0015,Clothing,S001,South,2,138.73,UPI,Yes,277.46
T00055,45344,C0177,P0024,Home,S007,South,9,208.84,UPI,No,1879.56
T00056,45631,C0099,P0038,Toys,S008,East,8,79.94,Net Banking,No,639.52
T00057,45383,C0036,P0035,Toys,S006,West,3,54.75,Credit Card,No,164.25
T00058,45555,C0096,P0030,Home,S005,West,8,522.61,UPI,No,4180.88
T00059,45326,C0152,P0031,Toys,S006,West,1,99.75,Cash,No,99.75
T00060,45497,C0151,P0049,Grocery,S002,North,4,41.06,Credit Card,Yes,164.24
T00061,45372,C0190,P0005,Electronics,S001,East,3,923.29,UPI,No,2769.87
T00062,45341,C0037,P0044,Grocery,S007,West,6,23.05,Credit Card,No,138.3
T00063,45651,C0012,P0050,Grocery,S007,West,7,26.97,Cash,No,188.79
T00064,45293,C0113,P0014,Clothing,S010,West,4,59.8,UPI,Yes,239.2
T00065,45345,C0183,P0011,Clothing,S010,North,7,63.26,Cash,No,442.82
T00066,45397,C0013,P0009,Electronics,S002,North,9,593.02,Net Banking,No,5337.18
T00067,45551,C0023,P0034,Toys,S002,South,2,117.18,UPI,No,234.36
T00068,45601,C0099,P0012,Clothing,S001,East,3,113.44,UPI,No,340.32
T00069,45482,C0105,P0035,Toys,S010,South,5,54.75,UPI,No,273.75
T00070,45509,C0030,P0035,Toys,S008,East,3,54.75,UPI,No,164.25
T00071,45335,C0017,P0001,Electronics,S008,North,8,821.4,Net Banking,No,6571.2
T00072,45453,C0113,P0040,Toys,S001,West,8,75.62,UPI,No,604.96
T00073,45493,C0062,P0022,Home,S008,South,8,588.7,Credit Card,No,4709.6
T00074,45561,C0084,P0029,Home,S009,West,9,693.25,UPI,No,6239.25
T00075,45642,C0112,P0008,Electronics,S004,South,4,241.29,Net Banking,No,965.16
T00076,45595,C0086,P0011,Clothing,S001,North,5,63.26,UPI,No,316.3
T00077,45562,C0141,P0041,Grocery,S001,North,5,44.64,Credit Card,No,223.2
T00078,45506,C0187,P0037,Toys,S003,North,8,102.09,Net Banking,No,816.72
T00079,45543,C0019,P0014,Clothing,S005,South,7,59.8,Net Banking,No,418.6
T00080,45481,C0177,P0030,Home,S005,East,9,522.61,Credit Card,Yes,4703.49
T00081,45587,C0100,P0035,Toys,S009,South,8,54.75,Credit Card,No,438.0
T00082,45504,C0140,P0021,Home,S010,East,2,664.07,Credit Card,No,1328.14
T00083,45499,C0189,P0037,Toys,S002,South,4,102.09,Credit Card,No,408.36
T00084,45528,C0147,P0005,Electronics,S002,South,6,923.29,Credit Card,No,5539.74
T00085,45629,C0076,P0019,Clothing,S006,North,2,166.65,Net Banking,No,333.3
T00086,45344,C0009,P0014,Clothing,S009,West,7,59.8,Net Banking,No,418.6
T00087,45571,C0199,P0026,Home,S001,West,3,335.62,UPI,No,1006.86
T00088,45508,C0028,P0004,Electronics,S009,East,3,384.37,UPI,No,1153.11
T00089,45543,C0128,P0025,Home,S009,West,2,770.05,Cash,No,1540.1
T00090,45479,C0052,P0045,Grocery,S009,South,8,12.15,UPI,No,97.2
